celltype,AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
TAP,AAVJEA2-H17,2,2.0091573914659335e-5,6.732968651927981e-6,2.0091573914659335e-5,1.771111001901197e-5,2.2472037810306695e-5
TAP,AAV2_A1,2,1.897495958630433e-5,2.281484512357011e-5,1.897495958630433e-5,1.0908693737005697e-5,2.704122543560296e-5
TAP,AAV1_A6,2,1.4394297307881329e-5,1.1410576085588622e-5,1.4394297307881329e-5,1.0360049444198946e-5,1.8428545171563713e-5
TAP,AAVJEA2-H11,2,1.3783602417996987e-5,2.5087178138883105e-6,1.3783602417996987e-5,1.2896636728855029e-5,1.4670568107138947e-5
TAP,AAV6wt,2,1.3632318969421008e-5,9.264680625182404e-6,1.3632318969421008e-5,1.0356759721623958e-5,1.690787821721806e-5
TAP,AAV9wt,2,1.2966351096836958e-5,6.410590412596804e-6,1.2966351096836958e-5,1.0699865120758624e-5,1.5232837072915292e-5
TAP,AAV9K449R_PHP.S,2,1.0848797636942446e-5,5.393638550954522e-6,1.0848797636942446e-5,8.941858439617882e-6,1.2755736834267008e-5
TAP,AAVAH3-3,2,1.0237798074736382e-5,1.3090152121730253e-6,1.0237798074736382e-5,9.774991308134434e-6,1.0700604841338328e-5
TAP,AAVAH4-1,2,1.0228022612377507e-5,6.951081701020823e-6,1.0228022612377507e-5,7.770444108690734e-6,1.268560111606428e-5
TAP,AAVAH3-5,2,9.446354348495161e-6,8.030578389242236e-6,9.446354348495161e-6,6.607116130553497e-6,1.2285592566436825e-5
TAP,AAV8_P4,2,8.390188781746968e-6,1.711441318713672e-7,8.390188781746968e-6,8.329680193643705e-6,8.450697369850232e-6
TAP,AAV2_MTP,2,8.192039792210856e-6,4.9698708600236934e-6,8.192039792210856e-6,6.43492509883877e-6,9.949154485582942e-6
TAP,AAVpo1_P4,2,7.82839304703424e-6,7.894148426759139e-6,7.82839304703424e-6,5.03739010490699e-6,1.0619395989161493e-5
TAP,AAV6shH10,2,7.641998903851555e-6,2.7657384783416607e-7,7.641998903851555e-6,7.544215282200359e-6,7.739782525502753e-6
TAP,AAVDJYF,2,6.553192559507898e-6,4.44171660140655e-6,6.553192559507898e-6,4.982808595026179e-6,8.123576523989617e-6
TAP,AAVAH3-N4,2,5.836080749423288e-6,1.1486572023872858e-6,5.836080749423288e-6,5.429969100889879e-6,6.242192397956698e-6
TAP,AAV8_A1,2,4.908732120955224e-6,7.302618926953695e-7,4.908732120955224e-6,4.6505455527717155e-6,5.166918689138734e-6
TAP,AAVrh10_A1,2,4.578670652712153e-6,1.6757288319722587e-6,4.578670652712153e-6,3.986211042453454e-6,5.171130262970852e-6
TAP,AAV9BI,2,4.299368844928228e-6,2.0550669241041943e-6,4.299368844928228e-6,3.5727929660151e-6,5.0259447238413554e-6
TAP,AAVrh10_P4,2,4.1759581292927155e-6,1.0668997271037536e-6,4.1759581292927155e-6,3.7987521133521453e-6,4.553164145233286e-6
TAP,AAV8_A2,2,4.173779578174196e-6,1.3955488661010405e-6,4.173779578174196e-6,3.6803785448255743e-6,4.667180611522818e-6
TAP,AAVJEA3-S7,2,4.095765992162232e-6,2.8599088739026566e-6,4.095765992162232e-6,3.0846355130061567e-6,5.106896471318308e-6
TAP,AAVAH4-3,2,3.924315067821195e-6,8.024285412319018e-7,3.924315067821195e-6,3.640613736359841e-6,4.208016399282547e-6
TAP,AAV2_7m8,2,3.3874976299277467e-6,1.4319532033114993e-6,3.3874976299277467e-6,2.8812257197260663e-6,3.8937695401294266e-6
TAP,AAV3_P4,2,2.7465631934324216e-6,2.2332507726890024e-6,2.7465631934324216e-6,1.9569898107031764e-6,3.5361365761616673e-6
TAP,AAV6.2,2,2.3145708526856736e-6,4.55553751657018e-7,2.3145708526856736e-6,2.1535082791898487e-6,2.475633426181499e-6
TAP,AAV5_A1,2,2.279377608674165e-6,3.2235267279565575e-6,2.279377608674165e-6,1.1396888043370826e-6,3.419066413011248e-6
TAP,AAV1_A1,2,2.0666166465753085e-6,1.9386660800165e-6,2.0666166465753085e-6,1.381194680757304e-6,2.752038612393313e-6
TAP,AAVJEA3-S8,2,1.8160985300258633e-6,2.5683511717684175e-6,1.8160985300258633e-6,9.080492650129317e-7,2.724147795038795e-6
TAP,AAVDJ,2,1.7256477228118569e-6,3.519998049137397e-8,1.7256477228118569e-6,1.7132026503603145e-6,1.7380927952633992e-6
TAP,AAV6_P4,2,1.2380244955852916e-6,2.253296353099721e-7,1.2380244955852916e-6,1.1583584390203052e-6,1.317690552150278e-6
TAP,AAVrh10_A6,2,1.209714222612674e-6,1.656778674482632e-7,1.209714222612674e-6,1.1511382508300776e-6,1.2682901943952703e-6
TAP,AAVJEA2-H1,2,1.0235541783772077e-6,3.422365379563603e-7,1.0235541783772077e-6,9.025552899978329e-7,1.1445530667565826e-6
TAP,AAV4_L1,2,8.893437688414214e-7,1.3230582722541958e-7,8.893437688414214e-7,8.425665950306265e-7,9.361209426522164e-7
TAP,AAVAH4-N1,2,8.766651311147227e-7,1.2397917180820286e-6,8.766651311147227e-7,4.3833256555736136e-7,1.314997696672084e-6
TAP,AAV8_P2,2,8.106842053889745e-7,1.1464805980627434e-6,8.106842053889745e-7,4.0534210269448724e-7,1.2160263080834618e-6
TAP,AAVpo1_P5,2,8.078156012088672e-7,1.1424237791261556e-6,8.078156012088672e-7,4.039078006044336e-7,1.2117234018133008e-6
TAP,AAVJEA3-H15,2,7.191564544194593e-7,1.017040811308148e-6,7.191564544194593e-7,3.5957822720972967e-7,1.078734681629189e-6
TAP,AAVAH4b-10,2,6.287575882123956e-7,2.657865896621621e-7,6.287575882123956e-7,5.347878382631151e-7,7.227273381616762e-7
TAP,AAVJEA3-D2,2,6.022376313738919e-7,8.516926260604065e-7,6.022376313738919e-7,3.0111881568694597e-7,9.033564470608379e-7
