AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAV9K449R_PHP.A,2,3.945562168951926e-5,2.955009023162554e-5,3.945562168951926e-5,2.9008087095790877e-5,4.9903156283247655e-5
AAVJEA3-S8,2,3.7975230445845994e-5,5.370508593075908e-5,3.7975230445845994e-5,1.8987615222922997e-5,5.6962845668768995e-5
AAVJEA2-D1,2,3.686496643176265e-5,8.785062758087243e-6,3.686496643176265e-5,3.375897770706621e-5,3.9970955156459085e-5
AAVJEA3-H3,2,3.561248171007209e-5,1.0837334162746637e-5,3.561248171007209e-5,3.17809054718407e-5,3.944405794830348e-5
AAVJEA3-S4,2,3.451616449587819e-5,4.881322795117164e-5,3.451616449587819e-5,1.7258082247939094e-5,5.177424674381728e-5
AAVAH3-N6,2,3.1216690907940235e-5,2.36708001627941e-5,3.1216690907940235e-5,2.2847799252328563e-5,3.9585582563551904e-5
AAVAH4-N6,2,2.729934078985831e-5,1.1590541323310173e-5,2.729934078985831e-5,2.320146560619055e-5,3.1397215973526075e-5
AAVJEA2-H11,2,2.7172210335610654e-5,1.8133242214291884e-5,2.7172210335610654e-5,2.0761141068298674e-5,3.3583279602922636e-5
AAV2_A1,2,2.6849434102131208e-5,3.3645830485163173e-6,2.6849434102131208e-5,2.5659874357395608e-5,2.8038993846866805e-5
AAVAH3-21,2,2.6092533052835318e-5,1.760895261387515e-5,2.6092533052835318e-5,1.986682815140347e-5,3.231823795426717e-5
AAVJEA3-H13,2,2.5510881159896637e-5,3.60778341244141e-5,2.5510881159896637e-5,1.2755440579948318e-5,3.8266321739844954e-5
AAV3_P4,2,2.518099678837537e-5,1.1089102663689726e-5,2.518099678837537e-5,2.1260406942990966e-5,2.9101586633759773e-5
AAV9_P3,2,2.4361680519660066e-5,3.4452618993103696e-5,2.4361680519660066e-5,1.2180840259830033e-5,3.65425207794901e-5
AAV9K449R_PHP.eB,2,2.4071128453954285e-5,2.606460892702207e-5,2.4071128453954285e-5,1.4855897593317922e-5,3.328635931459065e-5
AAV9BI,2,2.3121076869485784e-5,5.104460123768213e-6,2.3121076869485784e-5,2.131637768557937e-5,2.49257760533922e-5
AAV2_P4,2,1.932938837177732e-5,2.4543704435866432e-5,1.932938837177732e-5,1.0651878450757572e-5,2.8006898292797073e-5
AAV9_BR1,2,1.8814588895835904e-5,2.660784678696537e-5,1.8814588895835904e-5,9.407294447917952e-6,2.8221883343753856e-5
AAVAH3-N2,2,1.705128817656312e-5,1.84634118368914e-5,1.705128817656312e-5,1.0523486319710182e-5,2.357909003341606e-5
AAVJEA3-D7,2,1.3670315852501608e-5,1.9332746080531693e-5,1.3670315852501608e-5,6.835157926250804e-6,2.0505473778752413e-5
AAVAH4-N5,2,1.339043394126159e-5,1.8936933285793157e-5,1.339043394126159e-5,6.695216970630795e-6,2.0085650911892384e-5
AAVAH3-N4,2,1.1098598619655632e-5,1.7799023981870214e-6,1.1098598619655632e-5,1.0469308091851511e-5,1.1727889147459752e-5
AAV3_P5,2,9.027732680457809e-6,1.2767141994182247e-5,9.027732680457809e-6,4.513866340228904e-6,1.3541599020686713e-5
AAV5_A1,2,8.69192211635731e-6,2.0209919396281057e-6,8.69192211635731e-6,7.977393563740117e-6,9.406450668974504e-6
AAVpo1_A1,2,7.327243139309547e-6,1.0362286622416775e-5,7.327243139309547e-6,3.6636215696547736e-6,1.099086470896432e-5
AAV2_BR1,2,7.019519325680621e-6,7.5725105893117845e-6,7.019519325680621e-6,4.342232531525969e-6,9.696806119835272e-6
AAVAH3-N1,2,5.384196654872867e-6,1.2263537469455286e-6,5.384196654872867e-6,4.950615129573509e-6,5.817778180172224e-6
AAV2_P5,2,5.109567611955289e-6,3.40984505763447e-6,5.109567611955289e-6,3.904005330430905e-6,6.315129893479673e-6
